BBG 티커,영어 명칭,ISIN,CUSIP,SEDOLS,WKNs,RIC,Listing Date,Currency,Exchange,Management Fee
GFSG,Leverage Shares 2x Long GFS Daily ETF,US88340W2778,88340W277,,,,2026-06-23 00:00:00,USD,US,0.0099
HPEL,Leverage Shares 2x Long HPE Daily ETF,US88340W2513,88340W251,,,,2026-06-23 00:00:00,USD,US,0.0099
MTSG,Leverage Shares 2x Long MTSI Daily ETF,US88340W2448,88340W244,,,,2026-06-23 00:00:00,USD,US,0.0099
SMTG,Leverage Shares 2x Long SMTC Daily ETF,US88340W2364,88340W236,,,,2026-06-23 00:00:00,USD,US,0.0099
AAPE,Leverage Shares 2x Long AAPL Daily ETF,US8829276505,882927650,,,,2026-07-02 00:00:00,USD,US,0.0075
AMZG,Leverage Shares 2x Long AMZN Daily ETF,US8829273536,882927353,,,,2026-07-02 00:00:00,USD,US,0.0075
GOOL,Leverage Shares 2x Long GOOGL Daily ETF,US88340W2281,88340W228,,,,2026-07-02 00:00:00,USD,US,0.0099
METG,Leverage Shares 2x Long META Daily ETF,US8829276190,882927619,,,,2026-07-02 00:00:00,USD,US,0.0075
JBLG,Leverage Shares 2x Long JBL Daily ETF,US88340C2897,88340C289,,,,2026-07-02 00:00:00,USD,US,0.0099
VIAG,Leverage Shares 2x Long VIAV Daily ETF,US88340C2715,88340C271,,,,2026-07-02 00:00:00,USD,US,0.0099
SKHZ,Leverage Shares 1x Short SKHY Daily ETF,US88340C2558,88340C255,,,,2026-07-13 00:00:00,USD,US,0.0075
SKHX,Leverage Shares 2x Long SKHY Daily ETF,US88340C2632,88340C263,,,,2026-07-13 00:00:00,USD,US,0.0075
RAML,Leverage Shares 2x Long Memory Daily ETF,US88340F2829,88340F282,,,,2026-07-23 00:00:00,USD,US,0.0099
ELOL,Leverage Shares 100% TSLA + 100% SPCX Daily ETF,US88340F2746,88340F274,,,,2026-07-30 00:00:00,USD,US,0.0099
LITG,Leverage Shares 2x Long LITE Daily ETF,US88340G1085,88340G108,,,,2026-08-11 00:00:00,USD,US,0.0099
MXLL,Leverage Shares 2x Long MXL Daily ETF,US88340G4055,88340G405,,,,2026-08-11 00:00:00,USD,US,0.0099
STLL,Leverage Shares 2x Long STRL Daily ETF,US88340G2075,88340G207,,,,2026-08-11 00:00:00,USD,US,0.0099
FIXX,Leverage Shares 2x Long FIX Daily ETF,US88340G8015,88340G801,,,,2026-08-19 00:00:00,USD,US,0.0099
FLEL,Leverage Shares 2x Long FLEX Daily ETF,US88340G8841,88340G884,,,,2026-08-19 00:00:00,USD,US,0.0099
MUG,Leverage Shares 2x Long MU Daily ETF,US88340G7025,88340G702,,,,2026-08-19 00:00:00,USD,US,0.0099
STMX,Leverage Shares 2x Long STM Daily ETF,US88340G8502,88340G850,,,,2026-08-19 00:00:00,USD,US,0.0099
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Website,https://leverageshares.com/us/,,,,,,,,,
